AIAdoptionLevel;AutomationRisk;CompanySize;IndustryID;IndustryName;JobGrowthProjection;JobRole;Location;RemoteFriendly;RequiredSkill_ID;RequiredSkillName;SalaryUSD
Medium;Medium;Large;2;Energy;Stable;Cybersecurity Analyst;New York;No;9;Sales;88642,444558540
Medium;Low;Large;8;Technology;Stable;HR Manager;London;Yes;4;JavaScript;102836,310604833
High;Medium;Medium;4;Finance;Stable;Data Scientist;Singapore;Yes;5;Machine Learning;67722,938007977
Medium;Medium;Medium;7;Retail;Stable;Data Scientist;Berlin;No;5;Machine Learning;104747,462705216
Low;Medium;Small;2;Energy;Decline;HR Manager;Paris;Yes;10;UX/UI Design;112822,654630625
High;High;Small;1;Education;Decline;Product Manager;Tokyo;Yes;8;Python;122682,699869777
High;Low;Medium;9;Telecommunications;Growth;Cybersecurity Analyst;San Francisco;Yes;3;Data Analysis;47132,653517253
Low;High;Large;10;Transportation;Stable;Product Manager;Berlin;No;9;Sales;86341,966857696
High;Medium;Large;2;Energy;Decline;Product Manager;San Francisco;No;5;Machine Learning;50697,988512928
High;High;Large;5;Healthcare;Decline;Product Manager;San Francisco;No;6;Marketing;41298,726204544
Low;Medium;Large;9;Telecommunications;Growth;HR Manager;Berlin;No;7;Project Management;92881,860952150
High;High;Small;2;Energy;Growth;Product Manager;Sydney;No;7;Project Management;82016,964142993
Low;Medium;Medium;4;Finance;Growth;AI Researcher;Toronto;No;1;Communication;95997,019035415
Low;High;Large;10;Transportation;Decline;Software Engineer;Paris;Yes;3;Data Analysis;99722,553801746
Medium;High;Small;4;Finance;Decline;Sales Manager;London;No;7;Project Management;114957,919162158
Medium;High;Large;10;Transportation;Growth;Data Scientist;London;No;1;Communication;91078,408506116
High;Low;Medium;5;Healthcare;Stable;Data Scientist;Paris;Yes;8;Python;148467,112346381
High;High;Small;9;Telecommunications;Growth;Sales Manager;Sydney;No;5;Machine Learning;96128,197099704
Low;Low;Medium;1;Education;Growth;HR Manager;London;No;5;Machine Learning;126849,580891344
High;Medium;Medium;4;Finance;Growth;Marketing Specialist;San Francisco;Yes;6;Marketing;43343,243989515
Low;High;Small;4;Finance;Growth;HR Manager;Dubai;Yes;4;JavaScript;116994,790591012
Low;Medium;Small;3;Entertainment;Decline;Data Scientist;Tokyo;Yes;7;Project Management;86384,790204089
High;Medium;Small;10;Transportation;Stable;Data Scientist;New York;No;8;Python;51033,054811455
Low;High;Small;6;Manufacturing;Growth;Sales Manager;London;Yes;2;Cybersecurity;98410,902184562
Medium;Low;Small;9;Telecommunications;Stable;Product Manager;Paris;No;7;Project Management;83940,889240314
High;High;Small;10;Transportation;Stable;HR Manager;Dubai;No;3;Data Analysis;101601,064968962
Medium;Medium;Small;3;Entertainment;Stable;Operations Manager;Berlin;No;4;JavaScript;110221,529151021
High;Medium;Large;8;Technology;Growth;Sales Manager;Toronto;No;7;Project Management;60216,997664768
Low;High;Medium;10;Transportation;Decline;AI Researcher;Paris;Yes;8;Python;110298,379649103
High;Low;Small;1;Education;Growth;Data Scientist;San Francisco;Yes;7;Project Management;90129,589684414
Medium;Low;Large;9;Telecommunications;Stable;Sales Manager;Toronto;No;3;Data Analysis;117056,823493865
Low;Medium;Large;3;Entertainment;Stable;HR Manager;Tokyo;Yes;2;Cybersecurity;85897,035420043
High;Medium;Large;8;Technology;Decline;Data Scientist;Tokyo;No;9;Sales;80591,822149372
High;Low;Medium;7;Retail;Growth;Marketing Specialist;Sydney;No;10;UX/UI Design;90541,080813779
High;High;Small;3;Entertainment;Stable;Sales Manager;Singapore;No;2;Cybersecurity;92037,214127597
Medium;Medium;Large;7;Retail;Decline;Cybersecurity Analyst;Sydney;Yes;1;Communication;76744,303970165
Medium;Low;Medium;9;Telecommunications;Stable;Data Scientist;Dubai;No;7;Project Management;80073,905380894
High;Medium;Medium;4;Finance;Decline;HR Manager;Toronto;No;5;Machine Learning;65462,489309724
Low;High;Medium;3;Entertainment;Decline;Software Engineer;Singapore;Yes;6;Marketing;81307,098204196
Low;Low;Large;5;Healthcare;Growth;Operations Manager;Berlin;Yes;5;Machine Learning;103526,201199951
Medium;Medium;Small;7;Retail;Stable;UX Designer;San Francisco;Yes;2;Cybersecurity;87252,916521877
Low;High;Large;1;Education;Growth;Product Manager;Toronto;Yes;5;Machine Learning;110181,305920946
Medium;Medium;Large;5;Healthcare;Stable;UX Designer;Sydney;No;8;Python;86291,410646939
High;High;Small;2;Energy;Growth;HR Manager;New York;Yes;5;Machine Learning;61369,640045534
Medium;High;Small;2;Energy;Stable;AI Researcher;Singapore;No;4;JavaScript;101945,497751131
Medium;Low;Small;8;Technology;Growth;AI Researcher;Singapore;Yes;9;Sales;76527,537179332
High;High;Medium;4;Finance;Decline;Software Engineer;San Francisco;Yes;7;Project Management;85332,654224729
Low;Medium;Small;9;Telecommunications;Stable;Product Manager;London;Yes;5;Machine Learning;114751,440949682
Medium;High;Large;3;Entertainment;Stable;Cybersecurity Analyst;Tokyo;Yes;3;Data Analysis;66782,590805570
Medium;High;Small;6;Manufacturing;Decline;Software Engineer;Tokyo;Yes;9;Sales;93294,875749288
High;Low;Large;1;Education;Growth;UX Designer;New York;Yes;9;Sales;89189,632999284
Low;High;Medium;7;Retail;Stable;Software Engineer;Dubai;No;5;Machine Learning;104018,514308742
Medium;High;Large;9;Telecommunications;Stable;UX Designer;Dubai;Yes;9;Sales;107103,067309640
High;Medium;Large;5;Healthcare;Growth;Data Scientist;Berlin;Yes;6;Marketing;95276,780084978
Medium;Low;Small;2;Energy;Decline;AI Researcher;Toronto;Yes;5;Machine Learning;82792,507068392
High;Low;Small;1;Education;Growth;Data Scientist;Paris;Yes;8;Python;99467,450080519
Low;Low;Large;6;Manufacturing;Growth;Operations Manager;London;No;2;Cybersecurity;116713,117942891
Low;High;Small;3;Entertainment;Growth;Product Manager;Sydney;Yes;4;JavaScript;89454,201207206
Low;Low;Medium;8;Technology;Stable;Cybersecurity Analyst;Paris;Yes;10;UX/UI Design;84654,877711539
Low;High;Medium;6;Manufacturing;Decline;UX Designer;Paris;Yes;1;Communication;97763,405153360
Medium;High;Small;1;Education;Decline;Cybersecurity Analyst;Singapore;Yes;9;Sales;90774,540407392
Medium;Medium;Medium;6;Manufacturing;Growth;UX Designer;New York;No;8;Python;63245,811521644
Low;Medium;Small;1;Education;Stable;HR Manager;Tokyo;Yes;7;Project Management;94786,616007950
Low;Medium;Large;1;Education;Growth;Software Engineer;Berlin;No;7;Project Management;63064,751824725
Low;Medium;Large;10;Transportation;Stable;Operations Manager;Dubai;Yes;1;Communication;97489,612928169
Medium;Medium;Medium;7;Retail;Stable;AI Researcher;New York;No;4;JavaScript;74057,145511869
Low;High;Small;2;Energy;Stable;UX Designer;Singapore;No;9;Sales;90737,496083727
Low;High;Small;10;Transportation;Stable;Cybersecurity Analyst;Sydney;Yes;6;Marketing;97811,878123985
Low;Low;Medium;3;Entertainment;Decline;Operations Manager;Berlin;Yes;1;Communication;139078,066918871
High;High;Large;10;Transportation;Stable;Marketing Specialist;Singapore;No;4;JavaScript;104854,999235738
Low;High;Medium;4;Finance;Stable;Marketing Specialist;Tokyo;No;9;Sales;117295,976194846
High;Medium;Large;4;Finance;Growth;Data Scientist;Tokyo;Yes;8;Python;127434,956373878
High;High;Small;2;Energy;Growth;AI Researcher;Tokyo;No;2;Cybersecurity;99785,118339989
Low;Medium;Large;6;Manufacturing;Decline;HR Manager;New York;No;6;Marketing;95713,796005344
High;Low;Medium;7;Retail;Growth;Cybersecurity Analyst;New York;No;10;UX/UI Design;68665,577823476
Low;Low;Small;2;Energy;Stable;Software Engineer;Dubai;Yes;7;Project Management;87667,401351992
Medium;High;Medium;1;Education;Growth;Software Engineer;Dubai;No;3;Data Analysis;75538,245407283
Medium;Low;Medium;5;Healthcare;Decline;Cybersecurity Analyst;Sydney;No;8;Python;81978,822997512
Medium;High;Large;7;Retail;Growth;Product Manager;Berlin;No;7;Project Management;127413,267523849
Medium;Low;Medium;7;Retail;Growth;HR Manager;San Francisco;Yes;5;Machine Learning;92292,430184000
High;Medium;Large;1;Education;Decline;Operations Manager;San Francisco;Yes;3;Data Analysis;72482,008445678
Low;Medium;Small;1;Education;Decline;UX Designer;Singapore;No;7;Project Management;117490,669093826
Low;Medium;Large;8;Technology;Stable;Product Manager;Tokyo;Yes;4;JavaScript;109105,509524748
Low;Medium;Small;2;Energy;Growth;UX Designer;Berlin;No;6;Marketing;110153,069852007
Medium;High;Large;1;Education;Stable;UX Designer;Paris;Yes;7;Project Management;49877,395937952
Medium;Low;Medium;4;Finance;Growth;Product Manager;New York;Yes;10;UX/UI Design;128973,419154429
Low;High;Large;3;Entertainment;Growth;Data Scientist;Toronto;No;2;Cybersecurity;78829,705158122
Medium;Medium;Large;5;Healthcare;Stable;Marketing Specialist;London;Yes;4;JavaScript;105559,095455855
Low;High;Small;2;Energy;Growth;UX Designer;Sydney;Yes;8;Python;140475,995812340
Low;Low;Medium;9;Telecommunications;Growth;Product Manager;Tokyo;Yes;8;Python;133106,654963812
Low;High;Large;4;Finance;Growth;Product Manager;Tokyo;No;8;Python;70448,757490546
Low;Low;Medium;6;Manufacturing;Decline;Sales Manager;Tokyo;Yes;8;Python;61109,653259955
Low;High;Large;1;Education;Stable;Data Scientist;New York;Yes;2;Cybersecurity;118606,931976958
Low;Low;Large;9;Telecommunications;Decline;AI Researcher;New York;No;7;Project Management;92841,116231880
Low;Low;Medium;1;Education;Stable;Sales Manager;London;Yes;9;Sales;79982,371173958
Medium;Medium;Large;7;Retail;Stable;Sales Manager;Paris;Yes;7;Project Management;102424,370938780
Low;Low;Medium;4;Finance;Growth;Cybersecurity Analyst;Berlin;Yes;5;Machine Learning;86742,408450811
Low;Medium;Large;7;Retail;Stable;Marketing Specialist;Tokyo;Yes;6;Marketing;104026,482740974
Medium;Medium;Small;8;Technology;Decline;Product Manager;San Francisco;Yes;3;Data Analysis;91339,636156375
Medium;Medium;Medium;7;Retail;Decline;Marketing Specialist;Dubai;No;9;Sales;104447,758566563
Medium;High;Large;8;Technology;Decline;HR Manager;San Francisco;No;9;Sales;72109,346217272
Low;High;Large;8;Technology;Stable;Cybersecurity Analyst;Singapore;Yes;7;Project Management;118489,240262652
High;High;Small;9;Telecommunications;Decline;AI Researcher;San Francisco;Yes;9;Sales;103952,467414648
High;High;Medium;1;Education;Stable;Marketing Specialist;Singapore;Yes;1;Communication;102925,947388071
Medium;Low;Large;6;Manufacturing;Decline;Software Engineer;Toronto;No;1;Communication;67646,601459760
High;Low;Small;7;Retail;Decline;UX Designer;Dubai;No;5;Machine Learning;123992,648332884
Medium;High;Large;4;Finance;Stable;HR Manager;San Francisco;Yes;3;Data Analysis;89725,678012675
Low;Low;Medium;8;Technology;Decline;Data Scientist;Toronto;Yes;10;UX/UI Design;104560,977248596
High;Low;Large;1;Education;Growth;AI Researcher;Sydney;No;2;Cybersecurity;83543,510725068
Low;Medium;Large;5;Healthcare;Stable;HR Manager;Berlin;Yes;7;Project Management;95217,781293642
High;Medium;Large;2;Energy;Stable;UX Designer;Toronto;No;2;Cybersecurity;95942,547042388
Low;Medium;Large;9;Telecommunications;Stable;Cybersecurity Analyst;Berlin;No;10;UX/UI Design;33601,381359932
High;Medium;Small;6;Manufacturing;Growth;UX Designer;San Francisco;Yes;7;Project Management;101648,962493096
Low;Low;Small;10;Transportation;Stable;Sales Manager;Paris;No;7;Project Management;129306,829234441
Low;High;Medium;9;Telecommunications;Decline;UX Designer;Toronto;Yes;3;Data Analysis;100795,605179839
High;Low;Small;5;Healthcare;Decline;Sales Manager;Dubai;Yes;2;Cybersecurity;70845,835022205
Low;Low;Small;2;Energy;Decline;Cybersecurity Analyst;San Francisco;Yes;1;Communication;102999,231323077
Low;Low;Medium;5;Healthcare;Stable;Operations Manager;Tokyo;Yes;8;Python;111189,610603466
Low;Medium;Small;7;Retail;Decline;Sales Manager;New York;Yes;2;Cybersecurity;100249,330323807
High;Medium;Small;8;Technology;Stable;Data Scientist;Toronto;Yes;6;Marketing;88517,457871399
High;Medium;Medium;6;Manufacturing;Decline;UX Designer;Dubai;No;6;Marketing;85157,015483521
Low;High;Medium;3;Entertainment;Growth;UX Designer;Sydney;No;7;Project Management;85073,804892664
Low;Low;Medium;8;Technology;Growth;Data Scientist;Tokyo;No;8;Python;103955,538020224
High;High;Large;3;Entertainment;Growth;Software Engineer;Sydney;No;4;JavaScript;61857,520098807
High;Medium;Large;2;Energy;Growth;Product Manager;San Francisco;Yes;10;UX/UI Design;82562,536782892
Low;High;Medium;1;Education;Stable;Operations Manager;New York;No;5;Machine Learning;121912,196460218
Low;Low;Medium;10;Transportation;Decline;AI Researcher;Toronto;No;8;Python;122683,905331543
Low;Low;Medium;4;Finance;Growth;Sales Manager;Toronto;No;5;Machine Learning;60437,058243967
Medium;Medium;Large;8;Technology;Stable;Data Scientist;Paris;Yes;2;Cybersecurity;67371,727774728
High;Medium;Large;6;Manufacturing;Growth;Cybersecurity Analyst;Paris;No;2;Cybersecurity;84587,588409441
Medium;High;Small;5;Healthcare;Growth;Sales Manager;San Francisco;Yes;5;Machine Learning;107851,790342287
High;Medium;Small;6;Manufacturing;Stable;Product Manager;San Francisco;No;10;UX/UI Design;53450,512918940
High;Medium;Medium;2;Energy;Stable;Cybersecurity Analyst;New York;Yes;8;Python;88903,827301650
High;Low;Large;3;Entertainment;Decline;HR Manager;Paris;Yes;4;JavaScript;80516,416868407
High;Medium;Large;5;Healthcare;Decline;UX Designer;Dubai;No;7;Project Management;116519,293485704
High;Medium;Large;4;Finance;Growth;HR Manager;Dubai;Yes;3;Data Analysis;56461,830520615
High;Low;Medium;4;Finance;Growth;Sales Manager;New York;Yes;2;Cybersecurity;91850,812309872
High;Low;Small;8;Technology;Decline;Product Manager;Dubai;No;6;Marketing;82127,811253028
Medium;High;Medium;2;Energy;Decline;Operations Manager;Singapore;No;10;UX/UI Design;119395,978525545
Low;Medium;Small;1;Education;Stable;Sales Manager;Berlin;No;3;Data Analysis;101953,052927065
Low;Low;Small;2;Energy;Decline;Data Scientist;New York;Yes;4;JavaScript;78283,686814845
Medium;High;Medium;3;Entertainment;Decline;Marketing Specialist;New York;Yes;9;Sales;107067,728866581
Medium;High;Small;6;Manufacturing;Growth;Sales Manager;London;Yes;7;Project Management;82223,422933829
Medium;Medium;Small;4;Finance;Decline;UX Designer;Tokyo;No;2;Cybersecurity;109986,594224795
Medium;Medium;Large;6;Manufacturing;Growth;UX Designer;Tokyo;Yes;7;Project Management;85258,460182288
High;High;Small;6;Manufacturing;Decline;Sales Manager;Singapore;Yes;3;Data Analysis;111093,331575375
Low;Low;Medium;6;Manufacturing;Stable;Cybersecurity Analyst;Paris;Yes;7;Project Management;98721,639102545
High;High;Medium;4;Finance;Decline;Marketing Specialist;San Francisco;Yes;9;Sales;155209,821613828
Low;Medium;Small;9;Telecommunications;Decline;Data Scientist;San Francisco;Yes;3;Data Analysis;88942,079891680
Low;Low;Large;7;Retail;Decline;Sales Manager;Sydney;Yes;2;Cybersecurity;97657,245832429
Medium;Low;Large;3;Entertainment;Growth;Cybersecurity Analyst;Singapore;Yes;8;Python;80411,505165681
High;High;Small;9;Telecommunications;Stable;UX Designer;New York;No;6;Marketing;90053,706815096
Medium;Medium;Small;3;Entertainment;Decline;UX Designer;Singapore;No;3;Data Analysis;35963,297317011
High;High;Medium;5;Healthcare;Growth;Product Manager;Singapore;No;1;Communication;99311,680330821
Low;High;Small;2;Energy;Stable;Sales Manager;Singapore;Yes;9;Sales;116857,484258988
Medium;High;Large;2;Energy;Growth;Marketing Specialist;Tokyo;Yes;3;Data Analysis;97932,600091987
Medium;Low;Small;10;Transportation;Growth;Software Engineer;Singapore;No;3;Data Analysis;63722,770840452
Low;Low;Medium;2;Energy;Stable;Marketing Specialist;Berlin;Yes;1;Communication;73964,256945820
Low;Medium;Medium;4;Finance;Decline;UX Designer;San Francisco;No;2;Cybersecurity;41396,157456875
Low;Medium;Medium;1;Education;Growth;UX Designer;Sydney;Yes;3;Data Analysis;109578,480137308
Medium;High;Medium;8;Technology;Growth;HR Manager;Berlin;Yes;6;Marketing;69869,734145808
High;High;Medium;10;Transportation;Decline;UX Designer;Sydney;No;7;Project Management;89425,828195755
Medium;High;Small;8;Technology;Decline;Data Scientist;London;No;2;Cybersecurity;86925,248553456
High;Medium;Small;3;Entertainment;Stable;AI Researcher;Sydney;No;6;Marketing;119754,540713165
Medium;Low;Small;8;Technology;Stable;Sales Manager;San Francisco;No;2;Cybersecurity;91705,626359315
Medium;Low;Small;8;Technology;Stable;Marketing Specialist;San Francisco;No;6;Marketing;106177,858402120
Low;High;Medium;10;Transportation;Decline;AI Researcher;Singapore;Yes;9;Sales;100929,275282953
High;High;Large;5;Healthcare;Growth;Cybersecurity Analyst;Toronto;Yes;6;Marketing;117188,228399227
Medium;High;Small;6;Manufacturing;Growth;Software Engineer;London;Yes;5;Machine Learning;85217,526109941
Medium;High;Large;2;Energy;Stable;Data Scientist;New York;No;6;Marketing;127392,306610090
Low;Medium;Small;2;Energy;Decline;Marketing Specialist;Dubai;No;8;Python;50286,756872014
Low;Low;Small;4;Finance;Growth;AI Researcher;Sydney;No;8;Python;107149,469960024
High;High;Large;10;Transportation;Stable;Software Engineer;Toronto;No;10;UX/UI Design;72667,607826717
Medium;Medium;Medium;4;Finance;Growth;HR Manager;Singapore;No;5;Machine Learning;80145,008944401
High;High;Small;1;Education;Growth;Data Scientist;Tokyo;No;5;Machine Learning;101388,285338020
Medium;High;Small;1;Education;Decline;Data Scientist;New York;Yes;7;Project Management;101228,040996954
High;Low;Small;4;Finance;Decline;HR Manager;Paris;Yes;5;Machine Learning;102128,560273801
Low;High;Large;10;Transportation;Growth;Sales Manager;Toronto;Yes;7;Project Management;62276,841117895
Medium;Low;Medium;4;Finance;Stable;HR Manager;Tokyo;Yes;10;UX/UI Design;118980,604625584
High;Low;Large;2;Energy;Decline;Data Scientist;London;Yes;10;UX/UI Design;71987,057635446
Low;Low;Large;9;Telecommunications;Growth;Data Scientist;Singapore;No;9;Sales;74654,258195496
Low;Medium;Medium;7;Retail;Decline;AI Researcher;New York;No;8;Python;102757,934763336
High;Medium;Large;8;Technology;Decline;UX Designer;New York;No;6;Marketing;84265,576504775
Medium;Low;Medium;7;Retail;Decline;Software Engineer;New York;No;6;Marketing;96165,216811250
Medium;High;Small;10;Transportation;Growth;HR Manager;London;No;1;Communication;46867,986067344
Low;Low;Medium;7;Retail;Stable;Software Engineer;Sydney;No;1;Communication;95686,488990385
Medium;High;Small;1;Education;Stable;HR Manager;Paris;Yes;4;JavaScript;94356,637590244
Medium;Low;Large;3;Entertainment;Stable;Cybersecurity Analyst;London;No;2;Cybersecurity;79802,829244714
Medium;High;Large;8;Technology;Decline;Data Scientist;Dubai;No;9;Sales;48518,480804704
Low;Medium;Small;6;Manufacturing;Growth;UX Designer;Paris;No;4;JavaScript;85743,834770368
High;High;Large;10;Transportation;Decline;AI Researcher;San Francisco;No;4;JavaScript;89252,522804028
Medium;Low;Medium;8;Technology;Stable;UX Designer;Singapore;Yes;3;Data Analysis;82655,420193390
Low;Medium;Small;7;Retail;Stable;UX Designer;London;Yes;3;Data Analysis;53276,510711350
Low;High;Large;1;Education;Growth;UX Designer;Tokyo;No;4;JavaScript;121894,680146338
High;High;Small;5;Healthcare;Decline;Software Engineer;Paris;Yes;5;Machine Learning;77222,769441113
Medium;High;Medium;9;Telecommunications;Stable;HR Manager;Dubai;Yes;2;Cybersecurity;85555,906741542
Medium;High;Medium;6;Manufacturing;Growth;Operations Manager;San Francisco;No;9;Sales;41810,513575634
High;High;Large;9;Telecommunications;Decline;Cybersecurity Analyst;Sydney;No;4;JavaScript;121897,106973964
High;Medium;Medium;8;Technology;Decline;Marketing Specialist;Tokyo;No;6;Marketing;80669,001365319
Low;Medium;Small;1;Education;Stable;UX Designer;Paris;No;2;Cybersecurity;91969,256341484
Low;Medium;Medium;1;Education;Stable;Sales Manager;Singapore;No;3;Data Analysis;112414,748896333
High;Medium;Small;7;Retail;Decline;Software Engineer;Tokyo;Yes;6;Marketing;76473,915905667
Medium;Low;Small;2;Energy;Decline;AI Researcher;San Francisco;No;3;Data Analysis;109264,899747730
Low;Medium;Medium;7;Retail;Stable;Marketing Specialist;Tokyo;No;3;Data Analysis;48773,490881177
Low;High;Large;2;Energy;Decline;Operations Manager;Berlin;No;2;Cybersecurity;101019,733151426
Medium;High;Medium;2;Energy;Stable;Sales Manager;Toronto;Yes;3;Data Analysis;121444,843330393
Low;Medium;Small;6;Manufacturing;Decline;Operations Manager;Sydney;No;10;UX/UI Design;78391,663055639
Medium;High;Small;7;Retail;Stable;Marketing Specialist;San Francisco;No;8;Python;112377,632405967
Medium;Medium;Medium;5;Healthcare;Growth;UX Designer;Tokyo;No;10;UX/UI Design;126678,453043875
Medium;High;Large;4;Finance;Stable;Sales Manager;Toronto;Yes;8;Python;84903,163238920
High;Low;Large;4;Finance;Stable;Operations Manager;Toronto;No;1;Communication;83249,434283003
High;Low;Small;7;Retail;Growth;AI Researcher;Tokyo;No;1;Communication;72034,125083354
High;Medium;Small;7;Retail;Decline;HR Manager;Singapore;No;3;Data Analysis;79805,396896297
Medium;Medium;Large;9;Telecommunications;Growth;Data Scientist;Berlin;Yes;9;Sales;73692,802194548
Medium;Medium;Medium;6;Manufacturing;Stable;HR Manager;London;No;9;Sales;72017,778031455
High;High;Small;7;Retail;Decline;Marketing Specialist;Berlin;No;8;Python;113976,705934227
Low;Medium;Small;9;Telecommunications;Growth;Software Engineer;Tokyo;No;6;Marketing;74201,479494235
Medium;Low;Large;2;Energy;Decline;Data Scientist;Sydney;Yes;2;Cybersecurity;95170,438294392
Low;High;Medium;1;Education;Decline;Cybersecurity Analyst;London;No;3;Data Analysis;90764,668704325
Low;Medium;Large;1;Education;Growth;AI Researcher;San Francisco;No;2;Cybersecurity;119961,891251422
Medium;High;Medium;2;Energy;Decline;Cybersecurity Analyst;Berlin;No;10;UX/UI Design;79936,875358900
Medium;High;Medium;10;Transportation;Growth;Sales Manager;Tokyo;Yes;9;Sales;97622,960933086
Low;Medium;Medium;9;Telecommunications;Stable;Data Scientist;Berlin;Yes;5;Machine Learning;105821,394045522
Low;High;Small;9;Telecommunications;Decline;Cybersecurity Analyst;London;No;10;UX/UI Design;119794,992146411
High;Low;Large;2;Energy;Stable;Cybersecurity Analyst;Dubai;Yes;10;UX/UI Design;79644,933099095
High;Low;Large;5;Healthcare;Stable;Operations Manager;Paris;Yes;8;Python;77642,150625352
Medium;High;Medium;3;Entertainment;Decline;HR Manager;Berlin;Yes;7;Project Management;68764,378920799
